BATHRM,HF_BATHRM,HEAT,AC,EYB,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,LANDAREA,WARD,SALEYEAR,PRICE
1,0,Forced Air,1,1949,2 Story,Semi-Detached,Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,2032,Ward 5,2014,249000.0
2,2,Forced Air,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Carpet,1.0,0,2234,Ward 5,2013,385000.0
2,0,Warm Cool,1,1967,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,1191,Ward 2,2018,1020000.0
3,1,Warm Cool,0,1967,2 Story,Single,Above Average,Average,Common Brick,Slate,Hardwood,1.0,1,5003,Ward 5,2011,388000.0
2,1,Forced Air,1,2012,2 Story,Row Inside,Above Average,Very Good,Vinyl Siding,Comp Shingle,Hardwood,1.0,0,1287,Ward 7,2014,285000.0
1,1,Forced Air,1,1964,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood/Carp,1.0,1,854,Ward 6,2017,638000.0
2,0,Forced Air,1,1967,2 Story,Semi-Detached,Above Average,Good,Common Brick,Built Up,Hardwood,1.0,0,1760,Ward 4,2014,435000.0
2,0,Warm Cool,1,1969,2 Story,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1.0,1,4216,Ward 3,2014,901500.0
2,0,Forced Air,1,1964,2 Story,Single,Average,Good,Vinyl Siding,Comp Shingle,Wood Floor,1.0,0,4125,Ward 7,2011,200000.0
3,0,Forced Air,1,1969,2 Story,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,2.0,0,2160,Ward 4,2017,610000.0
3,0,Forced Air,1,1959,1 Story,Single,Fair Quality,Good,Vinyl Siding,Comp Shingle,Hardwood/Carp,1.0,0,4000,Ward 7,2015,349000.0
2,1,Forced Air,1,2015,2 Story,Row Inside,Good Quality,Very Good,Face Brick,Comp Shingle,Hardwood/Carp,1.0,0,1520,Ward 5,2014,475250.0
3,1,Hot Water Rad,0,1963,3 Story,Row Inside,Very Good,Average,Common Brick,Metal- Sms,Hardwood,2.0,1,2400,Ward 3,2014,962050.0
3,0,Warm Cool,1,1975,2 Story,Single,Good Quality,Good,Common Brick,Comp Shingle,Hardwood,1.0,1,5000,Ward 3,2011,815000.0
2,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,1.0,0,1778,Ward 5,2018,605000.0
1,1,Forced Air,1,1954,2 Story,Semi-Detached,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,1430,Ward 4,2018,501000.0
1,1,Forced Air,1,1986,2 Story,Row End,Good Quality,Very Good,Common Brick,Metal- Sms,Hardwood,1.0,1,1662,Ward 4,2013,725000.0
4,1,Hot Water Rad,1,1984,3 Story,Semi-Detached,Above Average,Good,Common Brick,Metal- Sms,Wood Floor,2.0,2,2590,Ward 6,2017,1500000.0
2,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,1190,Ward 6,2011,445000.0
2,1,Forced Air,1,1967,2 Story,Semi-Detached,Above Average,Very Good,Stucco,Built Up,Hardwood,1.0,0,1940,Ward 6,2017,800000.0
2,0,Forced Air,1,1976,2 Story,Single,Above Average,Good,Common Brick,Comp Shingle,Hardwood,1.0,0,9250,Ward 4,2014,729900.0
5,2,Forced Air,1,1967,2.5 Story Fin,Single,Above Average,Good,Stone/Siding,Comp Shingle,Hardwood/Carp,1.0,1,6700,Ward 5,2017,980000.0
2,1,Hot Water Rad,1,1978,2 Story,Row Inside,Excellent,Good,Hardboard,Metal- Sms,Hardwood,1.0,3,2400,Ward 2,2014,1700000.0
5,2,Forced Air,1,2015,2.5 Story Fin,Single,Good Quality,Very Good,Stucco Block,Comp Shingle,Hardwood/Carp,1.0,1,4908,Ward 3,2011,1795000.0
2,1,Forced Air,1,1982,2 Story,Single,Average,Good,Common Brick,Built Up,Hardwood,1.0,2,1640,Ward 6,2017,946500.0
1,0,Forced Air,1,1961,2 Story,Row Inside,Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,1550,Ward 4,2010,335000.0
4,1,Warm Cool,1,2000,2 Story,Single,Very Good,Good,Wood Siding,Shake,Hardwood,1.0,4,8936,Ward 4,2018,1465000.0
2,1,Forced Air,1,2015,2 Story,Row Inside,Good Quality,Very Good,Face Brick,Comp Shingle,Hardwood/Carp,1.0,0,1433,Ward 5,2014,498235.0
2,0,Hot Water Rad,0,1943,2 Story,Row Inside,Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,2826,Ward 4,2018,485000.0
1,1,Warm Cool,1,1969,2 Story,Row End,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,2340,Ward 5,2014,330000.0
2,1,Ht Pump,1,1970,2 Story,Row End,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,2239,Ward 5,2014,415000.0
3,1,Warm Cool,1,1969,2 Story,Single,Good Quality,Very Good,Wood Siding,Comp Shingle,Hardwood,1.0,1,6008,Ward 3,2018,1320000.0
2,2,Hot Water Rad,1,1963,2 Story,Row End,Very Good,Average,Common Brick,Built Up,Hardwood,1.0,1,3875,Ward 3,2012,875000.0
3,1,Forced Air,1,2017,2 Story,Row End,Above Average,Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1.0,0,2000,Ward 7,2016,345000.0
1,0,Forced Air,1,1978,2 Story,Row Inside,Average,Very Good,Common Brick,Metal- Sms,Hardwood,1.0,0,1180,Ward 5,2015,399999.0
2,1,Hot Water Rad,1,1960,2.5 Story Fin,Semi-Detached,Good Quality,Good,Common Brick,Slate,Hardwood,1.0,1,3504,Ward 3,2013,915000.0
2,1,Forced Air,1,2013,2 Story,Town Inside,Above Average,Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1.0,0,1296,Ward 5,2010,352000.0
2,0,Forced Air,1,1957,2 Story,Row End,Above Average,Average,Common Brick,Built Up,Hardwood,1.0,0,2838,Ward 7,2015,216000.0
3,0,Warm Cool,1,1972,1 Story,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1.0,1,7667,Ward 4,2013,810000.0
2,0,Hot Water Rad,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,0,1437,Ward 4,2016,672500.0
1,0,Hot Water Rad,0,1957,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Wood Floor,1.0,0,960,Ward 1,2013,399999.0
2,2,Forced Air,1,2011,2 Story,Town End,Above Average,Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1.0,1,2160,Ward 5,2014,500000.0
3,1,Forced Air,1,1982,2 Story,Row Inside,Good Quality,Very Good,Common Brick,Neopren,Hardwood,1.0,1,1280,Ward 6,2015,1256000.0
2,1,Warm Cool,1,1968,2 Story,Single,Good Quality,Good,Common Brick,Shake,Hardwood,1.0,1,4740,Ward 3,2017,885000.0
2,2,Hot Water Rad,0,1957,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,1,1700,Ward 1,2011,430000.0
2,1,Hot Water Rad,1,1967,2 Story,Row Inside,Above Average,Good,Brick/Siding,Built Up,Hardwood,1.0,0,1025,Ward 6,2012,575000.0
1,0,Wall Furnace,1,1964,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,749,Ward 1,2013,439900.0
3,1,Warm Cool,1,1978,2 Story,Row Inside,Excellent,Good,Common Brick,Built Up,Hardwood,2.0,1,1874,Ward 1,2014,1200000.0
3,0,Forced Air,1,2000,3 Story,Row Inside,Very Good,Good,Brick Veneer,Built Up,Hardwood/Carp,1.0,2,1236,Ward 2,2013,1265000.0
1,0,Hot Water Rad,0,1957,2 Story,Semi-Detached,Above Average,Average,Common Brick,Built Up,Hardwood,1.0,0,1767,Ward 4,2014,370000.0
2,0,Hot Water Rad,0,1963,3 Story,Row Inside,Very Good,Average,Stucco,Metal- Sms,Hardwood,1.0,1,2801,Ward 3,2017,1338000.0
1,1,Hot Water Rad,1,1984,2 Story,Row Inside,Above Average,Good,Stucco,Metal- Sms,Hardwood,1.0,0,1129,Ward 4,2014,699900.0
2,1,Forced Air,1,2017,4 Story,Row Inside,Very Good,Excellent,Brick Veneer,Built Up,Hardwood,1.0,1,876,Ward 5,2017,823900.0
2,0,Hot Water Rad,0,1954,2 Story,Row Inside,Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,1512,Ward 4,2015,389903.0
2,2,Warm Cool,1,1983,2 Story,Row Inside,Superior,Very Good,Common Brick,Built Up,Hardwood,1.0,1,2555,Ward 2,2018,1950000.0
2,1,Forced Air,1,1969,2 Story,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1.0,2,22130,Ward 7,2017,600000.0
3,1,Warm Cool,1,1988,2 Story,Semi-Detached,Exceptional-A,Good,Common Brick,Metal- Sms,Hardwood,2.0,2,1283,Ward 2,2017,1650000.0
3,1,Hot Water Rad,1,1982,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,0,1732,Ward 1,2014,854999.0
3,1,Hot Water Rad,1,1986,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2.0,0,2765,Ward 4,2016,799900.0
3,0,Hot Water Rad,0,1967,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,2130,Ward 6,2013,365000.0
1,0,Hot Water Rad,1,1967,1.5 Story Fin,Single,Above Average,Average,Common Brick,Built Up,Hardwood,1.0,1,6750,Ward 4,2017,622200.0
3,1,Forced Air,1,2010,2 Story,Row Inside,Good Quality,Very Good,Common Brick,Neopren,Hardwood/Carp,1.0,2,3362,Ward 6,2018,1800000.0
4,1,Forced Air,1,2017,2 Story,Single,Above Average,Very Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1.0,0,6288,Ward 7,2016,430000.0
1,1,Warm Cool,1,1970,2 Story,Row Inside,Very Good,Good,Brick/Stucco,Metal- Sms,Hardwood,1.0,0,2044,Ward 3,2014,749900.0
1,0,Warm Cool,1,1964,2 Story,Row End,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,2398,Ward 8,2017,242050.0
2,0,Hot Water Rad,0,1967,2 Story,Multi,Above Average,Average,Common Brick,Comp Shingle,Hardwood,2.0,0,2058,Ward 6,2012,430000.0
3,1,Hot Water Rad,1,1969,2.5 Story Fin,Single,Good Quality,Good,Brick/Siding,Slate,Hardwood,1.0,1,5200,Ward 4,2016,1090000.0
1,1,Warm Cool,1,1970,2 Story,Semi-Detached,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,2838,Ward 5,2014,320000.0
3,1,Hot Water Rad,1,1969,2 Story,Single,Good Quality,Good,Brick/Siding,Slate,Hardwood,1.0,1,5227,Ward 3,2011,815175.0
2,1,Forced Air,1,1964,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Carpet,2.0,0,1488,Ward 5,2018,665000.0
2,0,Forced Air,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,0,1800,Ward 4,2014,630000.0
3,1,Warm Cool,1,2008,2.5 Story Fin,Row Inside,Very Good,Good,Common Brick,Comp Shingle,Hardwood,1.0,1,829,Ward 6,2012,785000.0
3,1,Forced Air,1,2015,2 Story,Row Inside,Good Quality,Very Good,Face Brick,Comp Shingle,Hardwood/Carp,1.0,0,1248,Ward 5,2013,388275.0
3,0,Forced Air,1,1977,1 Story,Single,Good Quality,Good,Common Brick,Comp Shingle,Hardwood,1.0,2,9062,Ward 4,2017,880000.0
2,0,Forced Air,1,1975,1.5 Story Fin,Single,Good Quality,Average,Common Brick,Comp Shingle,Hardwood,1.0,1,8600,Ward 4,2015,715000.0
3,1,Ht Pump,1,2017,2 Story,Row End,Above Average,Very Good,Common Brick,Comp Shingle,Hardwood,1.0,0,2427,Ward 8,2017,409825.0
2,1,Forced Air,1,1967,2 Story,Single,Above Average,Average,Common Brick,Comp Shingle,Wood Floor,1.0,1,4080,Ward 5,2011,310000.0
1,0,Hot Water Rad,1,1958,2 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood,1.0,0,1875,Ward 5,2012,250000.0
1,0,Hot Water Rad,0,1954,2 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood,1.0,0,1597,Ward 5,2017,340000.0
2,1,Forced Air,1,2010,2 Story,Single,Above Average,Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1.0,0,5016,Ward 8,2011,345000.0
2,1,Warm Cool,1,1960,3 Story,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1.0,1,1750,Ward 2,2011,940000.0
3,0,Warm Cool,1,1947,2 Story,Row End,Above Average,Average,Common Brick,Metal- Sms,Wood Floor,1.0,4,2926,Ward 4,2016,575000.0
3,0,Forced Air,1,1967,2 Story,Semi-Detached,Above Average,Very Good,Common Brick,Built Up,Hardwood,1.0,0,3565,Ward 5,2017,631500.0
3,1,Forced Air,1,1980,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,1.0,2,1748,Ward 4,2013,600000.0
2,0,Hot Water Rad,0,1957,2 Story,Single,Above Average,Average,Stucco,Comp Shingle,Hardwood,1.0,0,4822,Ward 5,2015,422500.0
3,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1.0,0,1649,Ward 5,2016,630000.0
2,1,Hot Water Rad,0,1943,2 Story,Row Inside,Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,2850,Ward 4,2017,550000.0
2,1,Warm Cool,1,2008,2 Story,Single,Above Average,Good,Brick/Siding,Comp Shingle,Hardwood,1.0,0,3207,Ward 8,2016,419900.0
2,1,Warm Cool,1,1960,2.5 Story Fin,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1.0,1,5200,Ward 4,2016,800000.0
2,1,Forced Air,1,2013,2 Story,Town End,Above Average,Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1.0,0,2160,Ward 5,2010,390000.0
2,1,Warm Cool,1,1969,2.5 Story Unfin,Single,Good Quality,Average,Common Brick,Slate,Hardwood,1.0,2,5881,Ward 3,2012,930000.0
1,0,Forced Air,1,1964,2 Story,Row End,Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,0,780,Ward 5,2018,399999.0
2,1,Hot Water Rad,1,1967,2 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Hardwood/Carp,2.0,1,1349,Ward 5,2014,655000.0
3,0,Hot Water Rad,1,1986,3 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood/Carp,1.0,1,2734,Ward 1,2016,1051000.0
2,1,Warm Cool,1,1984,Split Foyer,Single,Above Average,Good,Common Brick,Comp Shingle,Hardwood,1.0,0,2498,Ward 8,2015,335000.0
3,0,Forced Air,1,1972,1 Story,Single,Above Average,Good,Common Brick,Comp Shingle,Hardwood,2.0,1,8993,Ward 4,2011,739000.0
2,0,Warm Cool,1,1964,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1.0,1,1572,Ward 1,2013,890000.0
2,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Very Good,Common Brick,Built Up,Hardwood,1.0,0,1640,Ward 6,2014,730000.0
2,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1.0,0,1689,Ward 5,2014,433788.0
4,1,Forced Air,1,1964,2 Story,Single,Average,Good,Aluminum,Comp Shingle,Hardwood/Carp,2.0,0,7920,Ward 5,2012,398000.0
1,1,Forced Air,1,1972,1 Story,Single,Average,Average,Common Brick,Comp Shingle,Hardwood,1.0,1,5298,Ward 4,2012,260000.0
3,1,Hot Water Rad,1,1969,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,1.0,2,2250,Ward 1,2016,975000.0
2,2,Forced Air,1,1991,3 Story,Row End,Above Average,Average,Common Brick,Built Up,Hardwood,1.0,0,883,Ward 6,2017,650000.0
2,0,Forced Air,1,1969,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,2.0,0,1167,Ward 5,2018,630000.0
3,0,Hot Water Rad,1,1969,2 Story,Semi-Detached,Good Quality,Good,Common Brick,Comp Shingle,Hardwood,2.0,0,4239,Ward 3,2018,935000.0
2,1,Hot Water Rad,1,1969,2 Story,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1.0,1,2632,Ward 3,2016,977500.0
1,0,Warm Cool,1,1957,2 Story,Single,Above Average,Average,Common Brick,Comp Shingle,Hardwood,1.0,1,4268,Ward 5,2017,492150.0
1,1,Hot Water Rad,1,1969,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2.0,0,1512,Ward 3,2013,875000.0
2,1,Warm Cool,1,1983,2 Story,Semi-Detached,Superior,Very Good,Wood Siding,Metal- Sms,Hardwood,1.0,1,1636,Ward 2,2015,1910000.0
3,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood/Carp,1.0,0,1040,Ward 5,2015,755000.0
1,0,Hot Water Rad,0,1957,2 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Hardwood/Carp,1.0,0,1211,Ward 5,2017,685000.0
2,0,Forced Air,1,1964,2 Story,Row Inside,Average,Good,Common Brick,Comp Shingle,Hardwood,1.0,0,2000,Ward 7,2018,405000.0
1,0,Forced Air,1,1965,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,1152,Ward 8,2015,189000.0
3,1,Forced Air,1,1964,2 Story,Row Inside,Average,Very Good,Common Brick,Metal- Sms,Hardwood,1.0,0,1502,Ward 5,2015,760000.0
2,0,Hot Water Rad,1,1969,2 Story,Single,Good Quality,Good,Wood Siding,Comp Shingle,Hardwood,2.0,1,4877,Ward 4,2013,526500.0
3,1,Hot Water Rad,0,1972,3 Story,Row Inside,Very Good,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,1627,Ward 2,2011,1060000.0
3,1,Hot Water Rad,1,1969,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2.0,1,1900,Ward 4,2017,780000.0
4,0,Hot Water Rad,0,1943,2 Story,Multi,Average,Average,Common Brick,Built Up,Hardwood,4.0,0,4250,Ward 5,2013,420000.0
2,0,Forced Air,0,1964,2 Story,Row Inside,Average,Good,Common Brick,Metal- Pre,Wood Floor,1.0,0,1500,Ward 1,2018,747000.0
2,0,Hot Water Rad,0,1957,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Wood Floor,1.0,0,960,Ward 1,2010,305000.0
1,1,Warm Cool,1,2005,2 Story,Row End,Above Average,Good,Vinyl Siding,Comp Shingle,Hardwood/Carp,1.0,0,3317,Ward 8,2017,275000.0
3,2,Forced Air,1,1960,3 Story,Row End,Good Quality,Average,Brick/Stucco,Built Up,Hardwood/Carp,1.0,0,1633,Ward 6,2015,1011100.0
3,0,Forced Air,1,1964,2 Story,Single,Average,Good,Common Brick,Neopren,Wood Floor,1.0,1,2590,Ward 6,2017,1575000.0
2,1,Forced Air,1,1967,2 Story,Semi-Detached,Above Average,Very Good,Common Brick,Built Up,Hardwood,1.0,0,1423,Ward 2,2010,999000.0
4,1,Warm Cool,1,1972,2 Story,Single,Very Good,Good,Common Brick,Comp Shingle,Hardwood,1.0,2,4929,Ward 4,2013,1300000.0
1,0,Forced Air,1,1947,2 Story,Single,Above Average,Average,Common Brick,Comp Shingle,Hardwood,1.0,1,6116,Ward 8,2018,275000.0
2,0,Hot Water Rad,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2.0,1,1357,Ward 6,2015,935500.0
2,0,Forced Air,1,1964,2 Story,Single,Average,Average,Stone,Comp Shingle,Hardwood,1.0,1,6958,Ward 3,2017,825000.0
2,0,Forced Air,1,1969,2 Story,Row Inside,Good Quality,Good,Common Brick,Neopren,Hardwood,1.0,1,510,Ward 6,2015,711000.0
2,0,Warm Cool,1,1960,2.5 Story Fin,Single,Good Quality,Average,Common Brick,Slate,Hardwood,1.0,1,6576,Ward 3,2014,943300.0
2,1,Forced Air,1,1963,2 Story,Semi-Detached,Very Good,Good,Common Brick,Comp Shingle,Hardwood,1.0,1,3835,Ward 3,2011,785000.0
1,1,Forced Air,1,1964,2 Story,Row End,Average,Good,Brick Veneer,Built Up,Hardwood,1.0,0,1330,Ward 6,2012,518000.0
3,1,Warm Cool,1,1969,2.5 Story Fin,Single,Good Quality,Good,Wood Siding,Comp Shingle,Hardwood,1.0,1,5428,Ward 3,2016,1120000.0
3,1,Forced Air,1,1984,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2.0,0,2367,Ward 1,2016,950000.0
3,1,Ht Pump,1,1967,2 Story,Row Inside,Above Average,Very Good,Common Brick,Built Up,Hardwood,2.0,0,3352,Ward 1,2015,1234000.0
3,1,Forced Air,1,1969,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1.0,2,1800,Ward 4,2016,624900.0
3,1,Forced Air,1,2014,3 Story,Single,Excellent,Excellent,Brick/Siding,Built Up,Hardwood/Carp,1.0,1,747,Ward 6,2011,853635.0
3,1,Forced Air,1,1967,2 Story,Semi-Detached,Above Average,Good,Common Brick,Built Up,Hardwood/Carp,1.0,1,4909,Ward 4,2013,624000.0
2,1,Forced Air,1,1965,2 Story,Semi-Detached,Average,Good,Brick/Siding,Built Up,Hardwood,1.0,0,2383,Ward 7,2017,315000.0
2,2,Warm Cool,1,1960,2 Story,Single,Good Quality,Average,Brick/Siding,Slate,Hardwood,1.0,2,5100,Ward 3,2010,884179.0
1,1,Forced Air,1,1980,3 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,1.0,1,910,Ward 6,2017,925000.0
1,1,Forced Air,1,1964,2 Story,Row Inside,Average,Very Good,Common Brick,Metal- Sms,Hardwood,1.0,1,1202,Ward 6,2017,716000.0
3,1,Warm Cool,1,2007,2.5 Story Fin,Row Inside,Very Good,Good,Common Brick,Comp Shingle,Hardwood,1.0,1,969,Ward 6,2018,1025000.0
3,1,Ht Pump,1,2012,3 Story,Row End,Above Average,Very Good,Vinyl Siding,Comp Shingle,Hardwood/Carp,1.0,0,3883,Ward 8,2018,351750.0
2,0,Hot Water Rad,1,1964,2.5 Story Unfin,Row End,Above Average,Good,Brick/Stucco,Slate,Hardwood,1.0,1,2691,Ward 4,2013,505000.0
1,0,Forced Air,1,1966,2 Story,Semi-Detached,Average,Good,Common Brick,Comp Shingle,Hardwood,1.0,0,3454,Ward 7,2015,244000.0
3,1,Hot Water Rad,1,1991,2 Story,Single,Excellent,Very Good,Stucco,Comp Shingle,Hardwood,1.0,1,8509,Ward 3,2016,1875000.0
2,1,Forced Air,1,1969,2 Story,Row Inside,Good Quality,Good,Common Brick,Neopren,Wood Floor,2.0,1,1539,Ward 6,2014,926000.0
3,1,Ht Pump,1,1967,2 Story,Row End,Above Average,Good,Brick/Stucco,Built Up,Hardwood/Carp,2.0,0,1378,Ward 5,2011,544000.0
2,0,Hot Water Rad,0,1986,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1.0,2,2391,Ward 1,2012,769000.0
2,1,Forced Air,1,2011,2 Story,Row Inside,Above Average,Very Good,Vinyl Siding,Comp Shingle,Carpet,1.0,0,1617,Ward 7,2010,315000.0
3,1,Forced Air,1,1982,2 Story,Row Inside,Good Quality,Very Good,Common Brick,Composition Ro,Hardwood,1.0,1,2374,Ward 6,2016,1825000.0
3,0,Forced Air,1,1972,3 Story,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Hardwood,1.0,1,1643,Ward 1,2016,1413035.0
2,0,Forced Air,1,1954,2 Story,Row Inside,Average,Average,Common Brick,Comp Shingle,Hardwood,1.0,0,1223,Ward 7,2010,186000.0
4,0,Warm Cool,1,1980,2 Story,Single,Very Good,Average,Common Brick,Comp Shingle,Hardwood,1.0,3,2706,Ward 3,2016,990000.0
3,1,Forced Air,1,1971,2 Story,Semi-Detached,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,2794,Ward 5,2018,579950.0
4,0,Forced Air,1,2015,3 Story,Row Inside,Excellent,Excellent,Common Brick,Neopren,Hardwood,1.0,0,741,Ward 6,2010,915335.0
3,1,Forced Air,1,1967,2 Story,Single,Above Average,Good,Vinyl Siding,Comp Shingle,Hardwood/Carp,1.0,0,8000,Ward 5,2016,463000.0
2,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,2.0,0,1620,Ward 7,2013,449000.0
1,1,Warm Cool,1,1976,3 Story,Row End,Superior,Good,Common Brick,Metal- Sms,Hardwood,1.0,1,862,Ward 2,2015,860000.0
1,0,Forced Air,1,1954,2 Story,Semi-Detached,Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,2103,Ward 8,2014,130000.0
3,0,Forced Air,1,1966,1 Story,Single,Good Quality,Good,Common Brick,Comp Shingle,Hardwood,1.0,2,6612,Ward 4,2014,660000.0
2,2,Warm Cool,1,2000,3 Story,Row Inside,Superior,Good,Common Brick,Comp Shingle,Hardwood,1.0,1,936,Ward 3,2017,985000.0
3,1,Warm Cool,1,1969,2 Story,Single,Good Quality,Average,Common Brick,Slate,Hardwood,1.0,2,4524,Ward 3,2016,1000000.0
2,1,Hot Water Rad,1,1967,2 Story,Row Inside,Above Average,Very Good,Brick/Stone,Built Up,Hardwood,1.0,0,1530,Ward 5,2014,480500.0
3,1,Forced Air,1,1967,2 Story,Semi-Detached,Above Average,Very Good,Common Brick,Built Up,Wood Floor,1.0,0,4375,Ward 8,2018,490000.0
2,1,Forced Air,1,1967,3 Story,Row End,Above Average,Good,Brick/Stone,Metal- Sms,Hardwood,1.0,1,992,Ward 6,2016,795000.0
2,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood/Carp,1.0,1,1625,Ward 6,2016,705000.0
3,1,Forced Air,1,1978,2 Story,Row End,Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,1,2912,Ward 4,2014,605000.0
2,1,Forced Air,1,1984,2 Story,Single,Above Average,Good,Common Brick,Built Up,Hardwood,1.0,0,1331,Ward 1,2014,880000.0
3,1,Hot Water Rad,1,1984,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,0,1159,Ward 4,2018,845000.0
3,0,Forced Air,1,1964,2 Story,Row Inside,Average,Very Good,Face Brick,Metal- Sms,Hardwood,1.0,0,1700,Ward 8,2017,470000.0
3,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,2.0,0,1134,Ward 5,2016,660000.0
3,1,Forced Air,1,1964,2 Story,Row End,Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,0,1781,Ward 4,2012,385000.0
2,0,Forced Air,1,1961,2 Story,Row End,Average,Average,Common Brick,Metal- Sms,Wood Floor,2.0,1,1018,Ward 6,2013,465000.0
3,1,Warm Cool,1,1972,2 Story,Single,Very Good,Good,Wood Siding,Comp Shingle,Hardwood,1.0,1,10500,Ward 4,2016,1400000.0
1,1,Hot Water Rad,0,1954,2 Story,Row Inside,Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,1700,Ward 4,2016,566000.0
2,1,Warm Cool,1,1970,Split Level,Single,Good Quality,Good,Common Brick,Comp Shingle,Hardwood,1.0,1,2467,Ward 3,2015,800000.0
3,1,Forced Air,1,2014,3 Story,Row End,Very Good,Excellent,Brick/Siding,Built Up,Hardwood/Carp,1.0,0,722,Ward 6,2015,960000.0
